On Thu, 1 ,-746.04,-808.06,S
I have a s,-1471.73,-1499.08,S
position a,-1113.5,-1202.12,S
ë÷îä £ ¨ ±,-1919.87,-1795.69,P
enron japa,-400.83,-440.12,S
don ' t gi,-505.77,-494.06,P
Good ol do,-451.05,-496.84,S
california,-6711.79,-7086.36,S
this perfo,-748.09,-663.89,P
a visit pr,-1334.06,-1448.92,S
URL: http:,-247.75,-261.22,S
Hello Bill,-2672.89,-2783.15,S
Hi All,I h,-1578.65,-1645.18,S
On Tue, 20,-905.77,-960.28,S
fw : scree,-637.85,-684.14,S
failure no,-1213.24,-1136.66,P
all graphi,-1165.61,-984.21,P
 fork ,Fro,-3111.62,-3009.61,P
a DOS boot,-888.92,-980.07,S
pure polit,-5674.68,-5945.52,S
[Guido, on,-1402.15,-1464.68,S
tmi95 - ad,-2396.2,-2709.7,S
re : credi,-1763.77,-1989.95,S
reply soon,-3609.91,-3443.35,P
how to soa,-1204.31,-1164.44,P
revised no,-213.49,-252.87,S
At 11:49 A,-2164.01,-2223.66,S
2nd flexib,-6315.73,-6961.59,S
Low-Cost T,-535.26,-490.1,P
you like t,-9858.35,-9370.22,P
looking fo,-257.88,-233.23,P
>>>>> R ==,-628.95,-663.9,S
japan upda,-328.97,-352.02,S
The demogr,-6735.05,-6897.86,S
office xp ,-680.66,-683.71,S
empty,-9.49,-8.99,P
the cheapp,-675.86,-648.15,P
wecol ' 98,-716.18,-766.78,S
syllabus f,-267.03,-298.31,S
URL: http:,-219.22,-225.3,S
empty,-9.49,-8.99,P
charm conf,-635.91,-702.29,S
hpl nom fo,-100.24,-124.79,S
add sennse,-511.68,-476.17,P
Marc Perke,-1009.01,-1076.84,S
URL: http:,-308.07,-319.95,S
re : lng  ,-763.46,-980.99,S
About apt.,-366.48,-423.82,S
job : slav,-682.04,-772.54,S
realize th,-564.92,-518.34,P
especially,-202.39,-191.06,P
URL: http:,-301.55,-324.77,S
review of ,-9310.03,-10393.04,S
sap - time,-240.79,-255.65,S
your email,-2170.59,-2070.36,P
localized ,-622.21,-570.94,P
new book :,-2047.84,-2296.14,S
new offrr ,-473.24,-436.93,P
re : 6 . 1,-478.9,-490.65,S
site licen,-1868.95,-2190.18,S
secure are,-85.66,-91.64,S
speaking o,-1013.17,-1115.31,S
quick , ea,-183.54,-158.08,P
On Wed, 11,-998.27,-1032.56,S
URL: http:,-1263.0,-1286.68,S
est-ce que,-15241.12,-15477.93,S
cfp : lite,-970.22,-1124.08,S
Attention ,-459.98,-414.67,P
looking fo,-447.12,-448.29,S
confidence,-600.89,-566.24,P
> >-- be c,-454.19,-461.57,S
e l e c t ,-2378.66,-2388.53,S
call : csd,-3115.51,-3630.84,S
cl school ,-4328.8,-4750.42,S
fw : liqui,-242.59,-270.29,S
we have $ ,-298.53,-278.14,P
I didn't s,-1726.56,-1854.23,S
Once upon ,-1112.89,-1240.9,S
? ? ? ? ? ,-2475.97,-2185.37,P
very impor,-2473.95,-2410.38,P
aiml ' 98 ,-2931.88,-3184.01,S
On Fri, Ju,-355.83,-399.89,S
multimedia,-5532.48,-6074.71,S
competitiv,-1367.72,-1412.35,S
Just to pu,-394.24,-418.25,S
I seem to ,-2142.41,-2300.78,S
webmining ,-113.54,-116.54,S
On Tue, 24,-369.15,-376.0,S
re : summa,-896.88,-1072.87,S
    Date: ,-901.37,-968.51,S
fyi . mess,-1329.54,-1461.9,S
humberto@h,-411.35,-463.37,S
new books ,-753.6,-871.61,S
CAN-2002-0,-5246.04,-6553.9,S
URL: http:,-1494.37,-1553.79,S
[ adv ] me,-3942.09,-3781.11,P
only 5 day,-361.72,-347.8,P
fw : heavy,-879.08,-938.36,S
bulk maili,-511.7,-483.68,P
empty,-9.49,-8.99,P
would you ,-146.95,-144.64,P
power and ,-655.58,-687.29,S
safety bul,-2517.62,-2533.87,S
make $ 314,-544.76,-530.01,P
discount r,-1072.8,-1145.02,S
legal advi,-1571.01,-1541.12,P
january no,-1193.72,-1343.88,S
schedule c,-1101.14,-1309.78,S
Creamfield,-2350.94,-2350.13,P
antipassiv,-3457.47,-3745.22,S
are you re,-319.34,-268.25,P
Tremendous,-1142.07,-986.89,P
> Ultimate,-523.74,-523.72,P
top qualit,-418.62,-370.55,P
Thanks for,-1764.1,-1999.52,S
Every once,-1027.26,-1090.35,S
save 70 pe,-1795.27,-1560.7,P
On Sun, 21,-4978.98,-5340.83,S
fw : donni,-599.6,-618.21,S
re : bilia,-1287.8,-1433.09,S
office xp ,-461.58,-458.35,P
On Mon, Au,-705.11,-756.83,S
start date,-233.36,-280.04,S
viicodin o,-256.63,-228.32,P
welcome to,-2188.64,-2140.79,P
cuba in no,-1760.75,-1864.06,S
mail deliv,-1592.63,-1499.97,P
tenaska iv,-143.58,-154.83,S
half pr ! ,-882.57,-839.32,P
enron / hp,-113.75,-154.62,S
greatly im,-735.46,-705.92,P
equity adj,-133.84,-151.19,S
easy shopp,-50.95,-46.57,P
moving fro,-353.24,-338.49,P
Well, I tr,-1490.59,-1658.16,S
