Numero de documentos (noticias) del corpus: 3954
Número de palabras del corpus: 623273
Palabra: :copyright: Frec: 26 LogProb: -10.160130352390741
Palabra: :registered: Frec: 33 LogProb: -9.92960669377891
Palabra: <UNK> Frec: 0 LogProb: -13.45596721839507
Palabra: <alfanumerico100> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico108> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico10> Frec: 303 LogProb: -7.738939516988849
Palabra: <alfanumerico114> Frec: 2 LogProb: -12.357354929726961
Palabra: <alfanumerico117> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico119> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico11> Frec: 271 LogProb: -7.850165152099073
Palabra: <alfanumerico120> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico124> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico126> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico128> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico12> Frec: 309 LogProb: -7.719394920915879
Palabra: <alfanumerico132> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico13> Frec: 179 LogProb: -8.26301036750486
Palabra: <alfanumerico144> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico14> Frec: 164 LogProb: -8.350021744494489
Palabra: <alfanumerico150> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico157> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico15> Frec: 185 LogProb: -8.230220544681869
Palabra: <alfanumerico168> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico16> Frec: 284 LogProb: -7.80347803812642
Palabra: <alfanumerico172> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico177> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico17> Frec: 101 LogProb: -8.830994405110799
Palabra: <alfanumerico18> Frec: 129 LogProb: -8.588432767939489
Palabra: <alfanumerico190> Frec: 2 LogProb: -12.357354929726961
Palabra: <alfanumerico196> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico19> Frec: 128 LogProb: -8.5961548140334
Palabra: <alfanumerico1> Frec: 1659 LogProb: -6.041394337044482
Palabra: <alfanumerico20> Frec: 109 LogProb: -8.755486852602655
Palabra: <alfanumerico211> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico213> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico216> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico21> Frec: 70 LogProb: -9.193287341353756
Palabra: <alfanumerico223> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico22> Frec: 75 LogProb: -9.12523387810874
Palabra: <alfanumerico23> Frec: 105 LogProb: -8.792528124283004
Palabra: <alfanumerico24> Frec: 121 LogProb: -8.651946173661814
Palabra: <alfanumerico250> Frec: 1 LogProb: -12.762820037835125
Palabra: <alfanumerico25> Frec: 71 LogProb: -9.179301099379016
Palabra: <alfanumerico26> Frec: 69 LogProb: -9.207471976345712
Palabra: <alfanumerico27> Frec: 66 LogProb: -9.251274599004104
