Numero de documentos (noticias) del corpus: 6046
Número de palabras del corpus: 1175545
Palabra: :copyright: Frec: 0 LogProb: -14.038867686469251
Palabra: :registered: Frec: 0 LogProb: -14.038867686469251
Palabra: <UNK> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico100> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico108> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico10> Frec: 180 LogProb: -8.840370655203426
Palabra: <alfanumerico114> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico117> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico119> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico11> Frec: 197 LogProb: -8.750600655774717
Palabra: <alfanumerico120> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico124> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico126> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico128> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico12> Frec: 204 LogProb: -8.715857707330844
Palabra: <alfanumerico132> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico13> Frec: 91 LogProb: -9.517079109420212
Palabra: <alfanumerico144> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico14> Frec: 83 LogProb: -9.608050887625938
Palabra: <alfanumerico150> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico157> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico15> Frec: 38 LogProb: -10.375306040339606
Palabra: <alfanumerico168> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico16> Frec: 32 LogProb: -10.542360125002771
Palabra: <alfanumerico172> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico177> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico17> Frec: 37 LogProb: -10.401281526742865
Palabra: <alfanumerico18> Frec: 18 LogProb: -11.09442870730281
Palabra: <alfanumerico190> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico196> Frec: 0 LogProb: -14.038867686469251
Palabra: <alfanumerico19> Frec: 11 LogProb: -11.553961036681251
Palabra: <alfanumerico1> Frec: 945 LogProb: -7.186625117417374
Palabra: <alfanumerico20> Frec: 31 LogProb: -10.573131783669526
Palabra: <alfanumerico211> Frec: 0 LogProb: -14.038867686469251
